captured_at,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,tcp_flags,payload_hash
2026-04-20T08:04:15.657477Z,10.1.57.7,203.0.140.63,56466,443,TCP,40,"FIN,ACK",fin_0
2026-04-20T08:04:15.846142Z,10.8.223.212,10.7.247.120,22,57946,TCP,116,"ACK,PSH",ssh_data_36
2026-04-20T08:04:23.560476Z,10.8.223.212,10.7.247.120,22,57946,TCP,106,ACK,ssh_data_37
2026-04-20T08:04:29.102588Z,10.7.247.120,10.8.223.212,57946,22,TCP,146,ACK,ssh_data_38
2026-04-20T08:04:30.916518Z,10.8.223.212,10.7.247.120,22,57946,TCP,969,ACK,ssh_data_39
2026-04-20T08:04:32.777687Z,10.8.223.212,10.7.247.120,22,57946,TCP,1071,ACK,ssh_data_40
2026-04-20T08:04:36.802765Z,10.7.247.120,10.8.223.212,57946,22,TCP,721,ACK,ssh_data_41
2026-04-20T08:04:43.735763Z,10.7.247.120,10.8.223.212,57946,22,TCP,1078,"ACK,PSH",ssh_data_42
2026-04-20T08:04:51.324714Z,10.8.223.212,10.7.247.120,22,57946,TCP,1190,"ACK,PSH",ssh_data_43
2026-04-20T08:04:52.485163Z,10.7.247.120,10.8.223.212,57946,22,TCP,301,ACK,ssh_data_44
2026-04-20T08:04:56.016476Z,10.8.223.212,10.7.247.120,22,57946,TCP,66,ACK,ssh_data_45
2026-04-20T08:05:00.585928Z,10.7.247.120,10.8.223.212,57946,22,TCP,448,ACK,ssh_data_46
2026-04-20T08:05:05.755682Z,10.7.247.120,10.8.223.212,57946,22,TCP,969,ACK,ssh_data_47
2026-04-20T08:05:07.782369Z,10.8.223.212,10.7.247.120,22,57946,TCP,653,ACK,ssh_data_48
2026-04-20T08:05:13.519244Z,10.7.247.120,10.8.223.212,57946,22,TCP,554,ACK,ssh_data_49
2026-04-20T08:05:16.349870Z,10.7.247.120,10.8.223.212,57946,22,TCP,899,"ACK,PSH",ssh_data_50
2026-04-20T08:05:24.291798Z,10.8.223.212,10.7.247.120,22,57946,TCP,1009,ACK,ssh_data_51
2026-04-20T08:05:29.649621Z,10.7.247.120,10.8.223.212,57946,22,TCP,661,ACK,ssh_data_52
2026-04-20T08:05:32.200308Z,10.8.223.212,10.7.247.120,22,57946,TCP,1031,"ACK,PSH",ssh_data_53
2026-04-20T08:05:36.834796Z,10.7.247.120,10.8.223.212,57946,22,TCP,1104,ACK,ssh_data_54
2026-04-20T08:05:38.358608Z,10.7.247.120,10.8.223.212,57946,22,TCP,913,"ACK,PSH",ssh_data_55
2026-04-20T08:05:44.766489Z,10.7.247.120,10.8.223.212,57946,22,TCP,69,"ACK,PSH",ssh_data_56
2026-04-20T08:05:47.505658Z,10.8.223.212,10.7.247.120,22,57946,TCP,1066,ACK,ssh_data_57
2026-04-20T08:05:51.354763Z,10.7.247.120,10.8.223.212,57946,22,TCP,744,ACK,ssh_data_58
2026-04-20T08:05:55.930489Z,10.7.247.120,10.8.223.212,57946,22,TCP,723,ACK,ssh_data_59
2026-04-20T08:06:03.786298Z,10.8.223.212,10.7.247.120,22,57946,TCP,40,RST,ssh_rst
2026-04-20T08:06:56.324823Z,10.2.153.239,8.8.8.8,55380,53,UDP,72,,dns_q_21
2026-04-20T08:06:56.338817Z,8.8.8.8,10.2.153.239,53,55380,UDP,303,,dns_r_21
2026-04-20T08:10:37.735620Z,10.1.97.25,203.0.49.169,63276,443,TCP,60,SYN,syn_3
2026-04-20T08:10:37.762064Z,203.0.49.169,10.1.97.25,443,63276,TCP,60,"SYN,ACK",synack_3
2026-04-20T08:10:37.789341Z,203.0.49.169,10.1.97.25,443,63276,TCP,401,ACK,data_3_0
2026-04-20T08:10:37.824344Z,203.0.49.169,10.1.97.25,443,63276,TCP,423,ACK,data_3_1
2026-04-20T08:10:37.952429Z,10.1.97.25,203.0.49.169,63276,443,TCP,1118,ACK,data_3_2
2026-04-20T08:10:38.026819Z,10.1.97.25,203.0.49.169,63276,443,TCP,1147,ACK,data_3_3
2026-04-20T08:10:38.155473Z,203.0.49.169,10.1.97.25,443,63276,TCP,1107,ACK,data_3_4
2026-04-20T08:10:38.560444Z,203.0.49.169,10.1.97.25,443,63276,TCP,400,ACK,data_3_5
2026-04-20T08:10:38.590486Z,203.0.49.169,10.1.97.25,443,63276,TCP,230,ACK,data_3_6
2026-04-20T08:10:39.075139Z,203.0.49.169,10.1.97.25,443,63276,TCP,684,ACK,data_3_7
2026-04-20T08:10:39.162463Z,10.1.97.25,203.0.49.169,63276,443,TCP,637,ACK,data_3_8
2026-04-20T08:10:39.595465Z,203.0.49.169,10.1.97.25,443,63276,TCP,537,ACK,data_3_9
2026-04-20T08:10:39.788056Z,203.0.49.169,10.1.97.25,443,63276,TCP,743,ACK,data_3_10
2026-04-20T08:10:40.251683Z,203.0.49.169,10.1.97.25,443,63276,TCP,784,ACK,data_3_11
2026-04-20T08:10:40.466071Z,10.1.97.25,203.0.49.169,63276,443,TCP,40,"FIN,ACK",fin_3
2026-04-20T08:10:42.844138Z,10.2.153.239,8.8.8.8,57850,53,UDP,44,,dns_q_19
2026-04-20T08:10:42.863894Z,8.8.8.8,10.2.153.239,53,57850,UDP,302,,dns_r_19
2026-04-20T08:11:33.125839Z,192.168.171.24,10.3.120.173,53521,826,TCP,44,SYN,scan_0
2026-04-20T08:11:33.145839Z,192.168.171.24,10.3.120.173,64377,204,TCP,44,SYN,scan_1
2026-04-20T08:11:33.165839Z,192.168.171.24,10.3.120.173,59549,151,TCP,44,SYN,scan_2
2026-04-20T08:11:33.185839Z,192.168.171.24,10.3.120.173,63654,26,TCP,44,SYN,scan_3
2026-04-20T08:11:33.205839Z,192.168.171.24,10.3.120.173,63135,48,TCP,44,SYN,scan_4
2026-04-20T08:11:33.225839Z,192.168.171.24,10.3.120.173,63763,251,TCP,44,SYN,scan_5
2026-04-20T08:11:33.245839Z,192.168.171.24,10.3.120.173,54367,1008,TCP,44,SYN,scan_6
2026-04-20T08:11:33.265839Z,192.168.171.24,10.3.120.173,64706,487,TCP,44,SYN,scan_7
2026-04-20T08:11:33.285839Z,192.168.171.24,10.3.120.173,63899,626,TCP,44,SYN,scan_8
2026-04-20T08:11:33.305839Z,192.168.171.24,10.3.120.173,57645,871,TCP,44,SYN,scan_9
2026-04-20T08:11:33.325839Z,192.168.171.24,10.3.120.173,57253,787,TCP,44,SYN,scan_10
2026-04-20T08:11:33.345839Z,192.168.171.24,10.3.120.173,58238,75,TCP,44,SYN,scan_11
2026-04-20T08:11:33.365839Z,192.168.171.24,10.3.120.173,65031,467,TCP,44,SYN,scan_12
2026-04-20T08:11:33.385839Z,192.168.171.24,10.3.120.173,56991,425,TCP,44,SYN,scan_13
2026-04-20T08:11:33.405839Z,192.168.171.24,10.3.120.173,58150,908,TCP,44,SYN,scan_14
2026-04-20T08:11:33.425839Z,192.168.171.24,10.3.120.173,63565,645,TCP,44,SYN,scan_15
2026-04-20T08:11:33.445839Z,192.168.171.24,10.3.120.173,51690,590,TCP,44,SYN,scan_16
2026-04-20T08:11:33.465839Z,192.168.171.24,10.3.120.173,58514,200,TCP,44,SYN,scan_17
2026-04-20T08:11:33.485839Z,192.168.171.24,10.3.120.173,56835,736,TCP,44,SYN,scan_18
2026-04-20T08:11:33.505839Z,192.168.171.24,10.3.120.173,58055,714,TCP,44,SYN,scan_19
2026-04-20T08:11:33.525839Z,192.168.171.24,10.3.120.173,60157,394,TCP,44,SYN,scan_20
2026-04-20T08:11:33.545839Z,192.168.171.24,10.3.120.173,59628,507,TCP,44,SYN,scan_21
2026-04-20T08:11:33.565839Z,192.168.171.24,10.3.120.173,51792,410,TCP,44,SYN,scan_22
2026-04-20T08:11:33.585839Z,192.168.171.24,10.3.120.173,53686,250,TCP,44,SYN,scan_23
2026-04-20T08:11:33.605839Z,192.168.171.24,10.3.120.173,54094,152,TCP,44,SYN,scan_24
2026-04-20T08:11:33.625839Z,192.168.171.24,10.3.120.173,56729,672,TCP,44,SYN,scan_25
2026-04-20T08:11:33.645839Z,192.168.171.24,10.3.120.173,61703,705,TCP,44,SYN,scan_26
2026-04-20T08:11:33.665839Z,192.168.171.24,10.3.120.173,54159,6,TCP,44,SYN,scan_27
2026-04-20T08:11:33.685839Z,192.168.171.24,10.3.120.173,56162,915,TCP,44,SYN,scan_28
2026-04-20T08:11:33.705839Z,192.168.171.24,10.3.120.173,51256,769,TCP,44,SYN,scan_29
2026-04-20T08:11:33.725839Z,192.168.171.24,10.3.120.173,62746,882,TCP,44,SYN,scan_30
2026-04-20T08:11:33.745839Z,192.168.171.24,10.3.120.173,62508,789,TCP,44,SYN,scan_31
2026-04-20T08:11:33.765839Z,192.168.171.24,10.3.120.173,59994,907,TCP,44,SYN,scan_32
2026-04-20T08:11:33.785839Z,192.168.171.24,10.3.120.173,64419,110,TCP,44,SYN,scan_33
2026-04-20T08:11:33.805839Z,192.168.171.24,10.3.120.173,62776,798,TCP,44,SYN,scan_34
2026-04-20T08:11:33.825839Z,192.168.171.24,10.3.120.173,51192,436,TCP,44,SYN,scan_35
2026-04-20T08:11:33.845839Z,192.168.171.24,10.3.120.173,55929,225,TCP,44,SYN,scan_36
2026-04-20T08:11:33.865839Z,192.168.171.24,10.3.120.173,62919,181,TCP,44,SYN,scan_37
2026-04-20T08:11:33.885839Z,192.168.171.24,10.3.120.173,61914,824,TCP,44,SYN,scan_38
2026-04-20T08:11:33.905839Z,192.168.171.24,10.3.120.173,49792,981,TCP,44,SYN,scan_39
2026-04-20T08:11:33.925839Z,192.168.171.24,10.3.120.173,61616,713,TCP,44,SYN,scan_40
2026-04-20T08:11:33.945839Z,192.168.171.24,10.3.120.173,64781,531,TCP,44,SYN,scan_41
2026-04-20T08:11:33.965839Z,192.168.171.24,10.3.120.173,49345,476,TCP,44,SYN,scan_42
2026-04-20T08:11:33.985839Z,192.168.171.24,10.3.120.173,60678,52,TCP,44,SYN,scan_43
2026-04-20T08:11:34.005839Z,192.168.171.24,10.3.120.173,58936,571,TCP,44,SYN,scan_44
2026-04-20T08:11:34.025839Z,192.168.171.24,10.3.120.173,61931,256,TCP,44,SYN,scan_45
2026-04-20T08:11:34.045839Z,192.168.171.24,10.3.120.173,62882,940,TCP,44,SYN,scan_46
2026-04-20T08:11:34.065839Z,192.168.171.24,10.3.120.173,56378,869,TCP,44,SYN,scan_47
2026-04-20T08:11:34.085839Z,192.168.171.24,10.3.120.173,65150,125,TCP,44,SYN,scan_48
2026-04-20T08:11:34.105839Z,192.168.171.24,10.3.120.173,56342,468,TCP,44,SYN,scan_49
2026-04-20T08:11:58.462188Z,10.2.153.239,8.8.8.8,64235,53,UDP,84,,dns_q_15
2026-04-20T08:11:58.499655Z,8.8.8.8,10.2.153.239,53,64235,UDP,487,,dns_r_15
2026-04-20T08:12:49.325044Z,10.2.153.239,8.8.8.8,64657,53,UDP,61,,dns_q_29
2026-04-20T08:12:49.394340Z,8.8.8.8,10.2.153.239,53,64657,UDP,225,,dns_r_29
2026-04-20T08:14:39.490274Z,10.1.82.139,203.0.0.154,59773,443,TCP,60,SYN,syn_2
2026-04-20T08:14:39.504749Z,203.0.0.154,10.1.82.139,443,59773,TCP,60,"SYN,ACK",synack_2
2026-04-20T08:14:39.522009Z,10.1.82.139,203.0.0.154,59773,443,TCP,693,ACK,data_2_0
2026-04-20T08:14:39.961624Z,203.0.0.154,10.1.82.139,443,59773,TCP,375,ACK,data_2_1
2026-04-20T08:14:40.328918Z,203.0.0.154,10.1.82.139,443,59773,TCP,1290,ACK,data_2_2
2026-04-20T08:14:40.713006Z,10.1.82.139,203.0.0.154,59773,443,TCP,1173,ACK,data_2_3
2026-04-20T08:14:41.186696Z,10.1.82.139,203.0.0.154,59773,443,TCP,1280,ACK,data_2_4
2026-04-20T08:14:41.623550Z,10.1.82.139,203.0.0.154,59773,443,TCP,633,ACK,data_2_5
2026-04-20T08:14:42.088362Z,203.0.0.154,10.1.82.139,443,59773,TCP,611,ACK,data_2_6
2026-04-20T08:14:42.446272Z,10.1.82.139,203.0.0.154,59773,443,TCP,964,ACK,data_2_7
2026-04-20T08:14:42.668132Z,10.1.82.139,203.0.0.154,59773,443,TCP,447,ACK,data_2_8
2026-04-20T08:14:42.795845Z,10.1.82.139,203.0.0.154,59773,443,TCP,243,ACK,data_2_9
2026-04-20T08:14:43.092058Z,10.1.82.139,203.0.0.154,59773,443,TCP,651,ACK,data_2_10
2026-04-20T08:14:43.100617Z,203.0.0.154,10.1.82.139,443,59773,TCP,320,ACK,data_2_11
2026-04-20T08:14:43.218943Z,203.0.0.154,10.1.82.139,443,59773,TCP,876,ACK,data_2_12
2026-04-20T08:14:43.259018Z,10.1.82.139,203.0.0.154,59773,443,TCP,1194,ACK,data_2_13
2026-04-20T08:14:43.370065Z,10.1.82.139,203.0.0.154,59773,443,TCP,1369,ACK,data_2_14
2026-04-20T08:14:43.660290Z,10.1.82.139,203.0.0.154,59773,443,TCP,1168,ACK,data_2_15
2026-04-20T08:14:44.065001Z,10.1.82.139,203.0.0.154,59773,443,TCP,40,"FIN,ACK",fin_2
2026-04-20T08:16:36.048806Z,10.2.153.239,8.8.8.8,49268,53,UDP,82,,dns_q_4
2026-04-20T08:16:36.128207Z,8.8.8.8,10.2.153.239,53,49268,UDP,406,,dns_r_4
2026-04-20T08:19:41.743024Z,10.2.153.239,8.8.8.8,51426,53,UDP,75,,dns_q_17
2026-04-20T08:19:41.784627Z,8.8.8.8,10.2.153.239,53,51426,UDP,340,,dns_r_17
2026-04-20T08:20:44.473602Z,10.2.153.239,8.8.8.8,59430,53,UDP,95,,dns_q_20
2026-04-20T08:20:44.538161Z,8.8.8.8,10.2.153.239,53,59430,UDP,341,,dns_r_20
2026-04-20T08:23:58.842184Z,10.2.153.239,8.8.8.8,60003,53,UDP,43,,dns_q_18
2026-04-20T08:23:58.862564Z,8.8.8.8,10.2.153.239,53,60003,UDP,213,,dns_r_18
2026-04-20T08:25:47.232166Z,10.2.153.239,8.8.8.8,50522,53,UDP,79,,dns_q_8
2026-04-20T08:25:47.274985Z,8.8.8.8,10.2.153.239,53,50522,UDP,487,,dns_r_8
2026-04-20T08:29:03.676857Z,10.1.249.40,203.0.97.76,56285,443,TCP,60,SYN,syn_4
2026-04-20T08:29:03.710024Z,203.0.97.76,10.1.249.40,443,56285,TCP,60,"SYN,ACK",synack_4
2026-04-20T08:29:03.730868Z,10.1.249.40,203.0.97.76,56285,443,TCP,1396,ACK,data_4_0
2026-04-20T08:29:03.971878Z,203.0.97.76,10.1.249.40,443,56285,TCP,1287,ACK,data_4_1
2026-04-20T08:29:04.054808Z,203.0.97.76,10.1.249.40,443,56285,TCP,364,ACK,data_4_2
2026-04-20T08:29:04.481222Z,10.1.249.40,203.0.97.76,56285,443,TCP,339,ACK,data_4_3
2026-04-20T08:29:04.820452Z,10.1.249.40,203.0.97.76,56285,443,TCP,445,ACK,data_4_4
2026-04-20T08:29:05.291542Z,10.1.249.40,203.0.97.76,56285,443,TCP,1385,ACK,data_4_5
2026-04-20T08:29:05.590829Z,203.0.97.76,10.1.249.40,443,56285,TCP,1058,ACK,data_4_6
2026-04-20T08:29:05.921229Z,10.1.249.40,203.0.97.76,56285,443,TCP,847,ACK,data_4_7
2026-04-20T08:29:06.388909Z,10.1.249.40,203.0.97.76,56285,443,TCP,843,ACK,data_4_8
2026-04-20T08:29:06.512058Z,10.1.249.40,203.0.97.76,56285,443,TCP,814,ACK,data_4_9
2026-04-20T08:29:06.743384Z,203.0.97.76,10.1.249.40,443,56285,TCP,348,ACK,data_4_10
2026-04-20T08:29:06.752996Z,203.0.97.76,10.1.249.40,443,56285,TCP,1353,ACK,data_4_11
2026-04-20T08:29:07.251063Z,10.1.249.40,203.0.97.76,56285,443,TCP,636,ACK,data_4_12
2026-04-20T08:29:07.506476Z,10.1.249.40,203.0.97.76,56285,443,TCP,914,ACK,data_4_13
2026-04-20T08:29:07.947504Z,203.0.97.76,10.1.249.40,443,56285,TCP,956,ACK,data_4_14
2026-04-20T08:29:08.093573Z,10.1.249.40,203.0.97.76,56285,443,TCP,1312,ACK,data_4_15
2026-04-20T08:29:08.446825Z,203.0.97.76,10.1.249.40,443,56285,TCP,1283,ACK,data_4_16
2026-04-20T08:29:08.455697Z,10.1.249.40,203.0.97.76,56285,443,TCP,40,"FIN,ACK",fin_4
2026-04-20T08:30:00.000000Z,172.16.139.112,10.4.248.8,26508,80,TCP,1500,SYN,dos_0
2026-04-20T08:30:00.001000Z,172.16.139.112,10.4.248.8,23052,80,TCP,1500,SYN,dos_1
2026-04-20T08:30:00.002000Z,172.16.139.112,10.4.248.8,44859,80,TCP,1500,SYN,dos_2
2026-04-20T08:30:00.003000Z,172.16.139.112,10.4.248.8,45532,80,TCP,1500,SYN,dos_3
2026-04-20T08:30:00.004000Z,172.16.139.112,10.4.248.8,53331,80,TCP,1500,SYN,dos_4
2026-04-20T08:30:00.005000Z,172.16.139.112,10.4.248.8,27521,80,TCP,1500,SYN,dos_5
2026-04-20T08:30:00.006000Z,172.16.139.112,10.4.248.8,48483,80,TCP,1500,SYN,dos_6
2026-04-20T08:30:00.007000Z,172.16.139.112,10.4.248.8,11840,80,TCP,1500,SYN,dos_7
2026-04-20T08:30:00.008000Z,172.16.139.112,10.4.248.8,56107,80,TCP,1500,SYN,dos_8
2026-04-20T08:30:00.009000Z,172.16.139.112,10.4.248.8,31654,80,TCP,1500,SYN,dos_9
2026-04-20T08:30:00.010000Z,172.16.139.112,10.4.248.8,61287,80,TCP,1500,SYN,dos_10
2026-04-20T08:30:00.011000Z,172.16.139.112,10.4.248.8,9388,80,TCP,1500,SYN,dos_11
2026-04-20T08:30:00.012000Z,172.16.139.112,10.4.248.8,65296,80,TCP,1500,SYN,dos_12
2026-04-20T08:30:00.013000Z,172.16.139.112,10.4.248.8,41804,80,TCP,1500,SYN,dos_13
2026-04-20T08:30:00.014000Z,172.16.139.112,10.4.248.8,36028,80,TCP,1500,SYN,dos_14
2026-04-20T08:30:00.015000Z,172.16.139.112,10.4.248.8,2791,80,TCP,1500,SYN,dos_15
2026-04-20T08:30:00.016000Z,172.16.139.112,10.4.248.8,60460,80,TCP,1500,SYN,dos_16
2026-04-20T08:30:00.017000Z,172.16.139.112,10.4.248.8,26846,80,TCP,1500,SYN,dos_17
2026-04-20T08:30:00.018000Z,172.16.139.112,10.4.248.8,39814,80,TCP,1500,SYN,dos_18
